"","ECOSUBCD","PLT_CN","tpaDead","baDead","volumeDead","propDead","propDeadLarge","volCWD","stage","baLive","carbonLive","richness","evenness","subForestProp","tpaCanopy","annualRecruit","annualMortality","micrForestProp","tpaRegen","INVYR","plotID","date","SRV_CN","CTY_CN","PREV_PLT_CN","STATECD","UNITCD","COUNTYCD","LAT","LON"
"12"," 211Ba",75761858010538,30.09023,0.59996730827775,2.56446381572335,0.0847457627118644,NA,23.0433233448959,"mature",15.4420759819336,37592.7912225617,1.08866210790363,0.259930192709979,1,324.974484,0.0193050193050193,0.00827357970215113,1,1049.513948,2006,23211193,"2006-07-03",75748885010538,1320311010538,52921847010538,23,5,21,917153.342421978,1951920.95466785
"13"," 211Ba",171137475020004,66.198506,3.3632017482725,17.3003153256628,0.229166666666667,0.142857142857143,NA,"mature",12.025631899722,34404.4434349113,1.1507929111375,0.277987164150759,1,222.667702,0.00305250305250305,0.0244200244200244,1,524.756974,2014,2321230,"2014-11-06",171136287020004,1320311010538,145024819010661,23,5,21,900588.213922715,1957348.54704708
"14"," 211Ba",171137603020004,48.144368,1.71891014995215,8.85133575161235,0.170212765957447,NA,10.9528660011681,"pole",9.03594982408452,22346.3443004102,0.640512615220349,0.346573590279973,1,234.703794,0.0181554103122731,0.0145243282498184,1,449.791692,2014,2321381,"2014-07-01",171136287020004,1320311010538,145024055010661,23,5,21,900744.21431472,1947642.23430472
"15"," 211Ba",171137605020004,42.126322,1.48755299783508,7.95818513034909,0.170731707317073,NA,NA,"mature",13.3914532841063,30273.4272569646,1.71498585142509,0.230258509299405,1,204.613564,0.0213903743315508,0.0142602495543672,1,449.791692,2014,23211601,"2014-11-12",171136287020004,1320311010538,145024059010661,23,5,21,908851.904852198,1951290.02222959
"16"," 211Ba",171137609020004,24.072184,1.04792256919771,5.24664463289395,0.19047619047619,0.333333333333333,NA,"mature",4.1217982782865,8059.87769452788,1.455213750218,0.298626578204676,1,102.306782,0.0211864406779661,0.0317796610169492,1,1949.097332,2014,2321143,"2014-10-24",171136287020004,1320311010538,145024067010661,23,5,21,897652.726636303,1948516.82668106
"17"," 211Ba",171137611020004,36.108276,1.52103529031228,5.45400436173298,0.12,0.0666666666666667,NA,"mature",19.2226171244165,48965.3522179749,0.904534033733291,0.298626578204676,1,264.794024,0.00589622641509434,0.0117924528301887,1,824.618102,2014,23211484,"2014-11-14",171136287020004,1320311010538,145024071010661,23,5,21,896774.758173002,1936257.89648939
"18"," 211Ba",171137613020004,12.036092,0.571455520057181,1.53193207946521,0.0425531914893617,0.125,NA,"mature",10.9713970950573,19486.9167770642,0.596284793999944,0.346573590279973,1,270.81207,0.026525198938992,0.00994694960212202,1,524.756974,2014,23211065,"2014-09-12",171136287020004,1320311010538,145024075010661,23,5,21,879741.04600041,1934837.61540035
"19"," 211Ba",171137929020004,114.342874,4.15436575402936,18.9042342438048,0.215909090909091,0.125,NA,"mature",19.4214982824642,27471.9850506139,0.722315118514615,0.298626578204676,1,415.245174,0.0104022191400832,0.00346740638002774,1,824.618102,2014,23211644,"2014-11-24",171136287020004,1320311010538,145024041010661,23,5,21,960650.696356962,1953320.63624997
"20"," 211Ba",171137950020004,30.09023,1.18227865358255,5.64211963538921,0.25,0.5,NA,"pole",3.05960456803294,6424.44289418701,1.03279555898864,0.346573590279973,1,90.27069,0.0156862745098039,0.0156862745098039,1,224.895846,2014,23191742,"2014-08-18",171136287020004,1320309010538,145023893010661,23,3,19,972173.391095678,1976800.5320182
"21"," 211Ba",171138072020004,36.108276,1.18828595013811,5.07856128123534,0.107142857142857,NA,NA,"pole",10.242196676107,18048.0990805234,0.707106781186547,0.32188758248682,1,300.9023,0.0103199174406605,0.00773993808049536,1,1199.444512,2014,2319805,"2014-11-19",171136287020004,1320309010538,145023901010661,23,3,19,948165.110976435,1971903.29421589
